DateID,FullDate,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,GermanDayNameOfWeek,DayNameofWeekAbbr,MonthNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,GermanMonthName,MonthNameAbbr,CalendarYear,CalendarQuarter,CalendarSemester
20010620,2001-06-20,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010621,2001-06-21,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010622,2001-06-22,5,Friday,Viernes,Vendredi,Freitag,Fri,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010623,2001-06-23,6,Saturday,Sábado,Samedi,Samstag,Sat,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010624,2001-06-24,7,Sunday,Domingo,Dimanche,Sonntag,Sun,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010625,2001-06-25,1,Monday,Lunes,Lundi,Montag,Mon,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010626,2001-06-26,2,Tuesday,Martes,Mardi,Dienstag,Tue,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010627,2001-06-27,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010628,2001-06-28,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010629,2001-06-29,5,Friday,Viernes,Vendredi,Freitag,Fri,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010630,2001-06-30,6,Saturday,Sábado,Samedi,Samstag,Sat,6,June,Junio,Juin,Juni,Jun,2001,2,1
20010701,2001-07-01,7,Sunday,Domingo,Dimanche,Sonntag,Sun,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010702,2001-07-02,1,Monday,Lunes,Lundi,Montag,Mon,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010703,2001-07-03,2,Tuesday,Martes,Mardi,Dienstag,Tue,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010704,2001-07-04,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010705,2001-07-05,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010706,2001-07-06,5,Friday,Viernes,Vendredi,Freitag,Fri,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010707,2001-07-07,6,Saturday,Sábado,Samedi,Samstag,Sat,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010708,2001-07-08,7,Sunday,Domingo,Dimanche,Sonntag,Sun,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010709,2001-07-09,1,Monday,Lunes,Lundi,Montag,Mon,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010710,2001-07-10,2,Tuesday,Martes,Mardi,Dienstag,Tue,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010711,2001-07-11,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010712,2001-07-12,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010713,2001-07-13,5,Friday,Viernes,Vendredi,Freitag,Fri,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010714,2001-07-14,6,Saturday,Sábado,Samedi,Samstag,Sat,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010715,2001-07-15,7,Sunday,Domingo,Dimanche,Sonntag,Sun,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010716,2001-07-16,1,Monday,Lunes,Lundi,Montag,Mon,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010717,2001-07-17,2,Tuesday,Martes,Mardi,Dienstag,Tue,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010718,2001-07-18,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010719,2001-07-19,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010720,2001-07-20,5,Friday,Viernes,Vendredi,Freitag,Fri,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010721,2001-07-21,6,Saturday,Sábado,Samedi,Samstag,Sat,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010722,2001-07-22,7,Sunday,Domingo,Dimanche,Sonntag,Sun,7,July,Julio,Juillet,Juli,Jul,2001,3,2
20010723,2001-07-23,1,Monday,Lunes,Lundi,Montag,Mon,7,July,Julio,Juillet,Juli,Jul,2001,3,2
